location,country,latitude,longitude,source,comments,review_date,score
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,first day one help main door problems enter. one reception know ho women section bathroom. overall great.,2024-05-06 22:05:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,"absolute madness, booked classes went attend one conduct class.",2024-04-23 20:24:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,wouldn’t lent me. change date day pass,2024-04-15 20:46:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"don’t turn aircon always humid hot everyone breathing others air, disabled toilet order months still fix, multiple machines fix",2024-04-05 03:24:41,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,joining fee,2024-03-23 03:27:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,toilet r untidy,2024-02-23 01:53:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,every one boycott puregym muslim pts work suggest leave boycott ceo puregym supports isreal boycottt,2024-01-31 02:17:32,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,puregym stechford retail park absolutely disgusting. hygiene level extremely poor aswell maintainace equipment. equipment dust collected months end. never staff busy talking ro maintaining gym. paying customers standard gym beyond unacceptable.,2024-01-28 14:23:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,someone stole jacket changing room unethical unsatisfied behavior. much theifs gym. zero star side asked staff check camera said check it. shown came changing room bad experience pathetic gym 👎👎👎👎,2024-01-26 02:32:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,"still traumatised marched beaufort park pure gym aadbid hafezi,,,,i felt wrong ethnicity......so sad big city 2023/2024.",2024-01-24 00:22:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,item placed designated places . got one one missing.,2023-12-26 21:30:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,"machines always broken , never repaired quickly ,",2023-12-25 15:21:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,"suitable white working class male enter, virtually marched management ridiculed abused ,h.r said sorry offered £ pound discount shameful place ethnicity welcome ...sad sad place silver medalist gracie jujitsu fighter.terrible experience would advise white person enter .if feel facts. shameful place pure gyms excellent welcoming professional.....this suitable white people .simple.",2023-12-09 12:30:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,celebrating one month anniversary order machine.🎉,2023-12-08 14:03:38,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"first there’s way could recommend gym practicing muslim, individual takes religion seriously. place fitnah overload. understand it’s marketed muslim gym, would atleast expect womens area womens only, constantly disrupted male members staff. supposed bell system male member staff entering womens area, yesterday alarm went off, jumped machine headed straight changing room hide gone. even five seconds later two men entered, meaning walked right past eachother, without hijab on. sister wears niqab absolutely mortifying left tears changing room. absolutely thought consideration here, what’s point alarm don’t give chance sisters cover hide themselves? what’s worse lot high members staff seem muslim know better. additionally cleanliness hygiene place pretty disgusting, treadmills borderline crusty marks dirt literal months building up, i’ve never seen anyone clean machines almost three months coming. overall complete flop, wouldn’t recommend whatsoever.",2023-11-20 01:58:06,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,people shower gym?,2023-09-12 02:49:37,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"gym nice assistant manager disgrace made feel uneasy unwelcome , never return gym",2023-09-08 02:49:46,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,money snatching pt use personal trainers gym! private lesson christina harris never showed paid back. scammer gym taken responsibility it. refused pay back offered zero compensation. waste money crap excuse gym there's gyms way better this.,2023-09-03 18:52:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,paid beaufort gym sent city center . tried refund option .......nothing .,2023-08-21 14:40:40,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"used good increased membership price. it’s squashy, stinks gets way hot stuffy. ac never seems either. also love i’m working rainy weather tiles cave head",2023-07-09 02:34:13,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"membership suspended without prior warning, weights left floor us weights already floor. induction, prior warning, personal trainer working 5am morning mention anything us either weights, day suspension. everyone welcome, personally recommend gym, air con. assistant manager even apologise, personal trainer seems unhappy, approachable always face on.",2023-07-05 02:37:59,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,"day suspension individuals left weights floor, warning straight suspension. absolutely shocked. pure gym moto everyone welcome... sure feel welcomed. 1. prior warning suspension. 2. personal trainer working 5am say polite word us anything wrong. 3. induction even receive apology went in, two days gym suspension.",2023-07-04 22:00:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"pathetic gym, seriously recommend gym anyone. cannot even leave hoodie changing rooms without stolen dodgy characters attend gym careful !!!",2023-06-30 14:33:28,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Trustpilot,"canceled gym membership months due various reasons, primarily staff member (edit: management pure gym reported review identifying staff member name omitted review. however mentioned reviews google). acts like owns gym, regularly forcing members, including myself, weights section private class. also records classes social media picks members background probably don’t want video (i know certainly don’t want extra background boxercise vids). despite availability private room, insists disrupting workouts. first time witnessed rude behavior. member asked help malfunctioning machine, responded sour face inconvenienced even though literal job. additionally, frequently shouts uses foul language. reviews also mention similar experiences her. rest staff friendly renovated women's section great, gym often overcrowded, overall experience consistently ruined staff member. considering price increase dissatisfaction, decided switch thegym despite longer journey. edit: i’m entirely sure pure gym management asked update review. unless addressed issue member created hostile environment, reason make changes. simply stating theres tolerance behaviour make difference members gym🥴",2023-06-15 20:35:00,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,gym going downhill. biggest refurbishment can't even provide proper cable attachments forget attachments can't even get one clip per cable machine. percent attachments missing grip one rope entire gym. ridiculous.,2022-03-08 01:56:31,1
Birmingham Beaufort Park,GB,52.493268,-1.8171797,Google,"soon walk in, smells bad odour. never switch aircon on. damaged machines take ages fixed, especially cables take months. toilets always filthy. recommend air freshener attached toilets. need game start adding machines ones broken useless. new staff pretty useless. come mothers meeting seem fixing issues keeping gym tidy environment.",2022-03-08 01:56:25,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,nothing works,2024-04-09 22:56:29,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,every week there's broken lockers - never seen one get repaired. going months. result drag bag around there's place securely store it.,2024-04-04 20:51:00,2
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"member gym years pure gym account holder years. recent machine changes removed small amount variety machine gym without replacing making harder navigate gym. really disappointing, i’m ending membership moving nuffield gym",2024-04-03 11:02:46,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,parking improved equipment old times broken. number gyms attend membership reduced cases far useful.,2024-03-30 21:59:03,2
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"broken light keeps flashing tiring eyes head. wifi work 1st floor, machines broken plates dumbells scattered place. impossible find working locker.",2024-03-26 22:58:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"2nd time could utilize code provided email, one call fact code working. extremely disappointing able train",2024-03-23 02:39:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,gym. rubbish station! understand people paying what? can't even one good lock put stuff in. lights flicking blinking blind eyes! look like hall gym big hall full items 🤧🤮 even couple weeks coming today cancelled membership,2024-03-06 21:50:23,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,first doesn’t let use bank card sign monthly subscription don’t recognised friends card bank works fine locks soon signed get friend help due door error thinks inside,2024-03-01 21:31:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"member months experience far disappointed, old machines, enough equipment, showers working working properly (as hot water water pressure) equipment place (dumbbells correct place floor, disk weight enough floor too). place well smells weird, enough light looks like club almost big lockers broken. member gym group front much better, hopefully feedback read someone really care fix issues. it’s hard get feedback annoying see response others reviews saying “thanks feedback” fixing nothing.",2024-02-19 21:48:40,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"terrible place. flickering lights. roof periodically caved studio, massive leaks elsewhere. many machines broken unsafe. management beyond useless.",2024-02-12 09:51:58,2
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"poorly maintained, lots broken missing equipment. disappointing.",2024-02-09 21:50:57,2
Birmingham City Centre,GB,52.4856896,-1.871104,Google,worst experience using gym 2-3 days cables broken treadmills working management don’t care @puregym team please don’t marketing things gyms also try make better bot gym free paying expecting get good experience.,2024-02-05 21:50:26,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"whilst running machines, pt pure gym worker exercises disabled man. member public went concern pt worker rude return, shouting ‘ shut up’ swearing. considering worked pure gym shocking here. aware full situation aggressive language used.",2024-02-05 13:46:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,cap amount people allowed in. cleaning stations well stocked. completely unaware type gyms wait hours bench press ridiculous. finally got one swimming bodily fluids. positive experience coming back,2024-01-20 10:58:00,2
Birmingham City Centre,GB,52.4856896,-1.871104,Google,i’m sorry idk reviews about. gym clean cleaners good job rest absolute ridiculous. it’s mess wires equipment broken… bunch pins clips missing. whole treasure hunt find need.,2024-01-18 09:46:29,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"gym years . it’s time let star review. always it’s something broke gym always takes month fix . 30% times cold showers that’s huge problem . gym always dirty , toilets changing rooms always dirty . think clean per week . let’s talk gains everywhere. loose minutes per session find gains need .",2024-01-17 21:50:29,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"probably worst pure gym's birmingham, can't even use treadmill mildly busy time there's problem equipment. weights.. good luck finding bench weight area. irony started training years back re-joined recently.. nothing changed! least gym group revamp years back pure gym still sleeping past.",2024-01-06 21:46:13,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,seen people hogging machines nothing like gym before. avoid.,2023-12-24 21:46:46,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,closed whole weights area days closed open mats area leaks leaks throughout rest gym closed ladies changing rooms ages closed ladies shower ages,2023-12-22 21:44:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"ensure basic full working condition. equipment, music/tv,.....etc...we pay full subscriptions therefore gym proper order.",2023-12-20 22:57:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,would rather throw egg air head came taking foot bar pole bum beans covered step foot gym ever,2023-12-07 21:42:40,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"visited puregym birmingham trip city, say disappointing experience. atmosphere branch quite unpleasant, disrespectful users, abandoned equipment (even pile weights corner), bottles scattered everywhere. additionally, significant number lockers broken. despite challenges, managed complete workout. however, local puregym resembled one, would seriously consider switching competitor. difficult take pictures without exposing users preserve privacy , attached pictures small example found (there way more)",2023-10-28 22:45:02,2
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"hi team, name shebin ive part pure gym birmingham 4-5 months. firstly, let say really happy find gym open late hours. considering work schedule, really hard take care time time gyms close early. so, really happy. however, gym membership suspended 4days trying resolve issue best can. reason- stacking weights session. completely understand importance safety health hazard causes trying work assistant manager gym couple days now. unfortunately, good end. sure gym realises importance maintaining good healthy lifestyle daily workouts impact mental physical state person. issue really saddening gym taken good space daily routine puregym played major role it. hopefully get resolved soon thanks shebin",2023-10-19 19:53:00,2
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,terrible gym. manager suspended account nowhere claimed entered gym without pin true. dont even know possible. know people like always singling us out. manager balls. female theyre wet.,2023-10-17 15:10:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,terrible manager. wrongfully suspended account pay can’t go puregym membership like that.,2023-10-16 22:33:29,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,never answere pharmacy,2023-10-02 22:29:34,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,busy,2023-09-18 22:23:19,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"place flooding (recent pic 10/09/23) one manager sight sort out. member put bin leaking roof there's one around anything else. age old saying. ""ain't pure gym without leaky roof""",2023-09-10 22:24:40,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"member gym years now. 5/6 years green track use covered temporary (although it’s pretty permanent) wall. always orange barricades somewhere gym whether functional area one side rig reducing space available members elsewhere gym. every time go in, i’m surprised machines “out order” sign become norm gym. never gets permanent fix temporary one lets honest never lasts long. shocked surprised day gym, emergency buttons weren’t working sign next saying case emergency, call landline number speak cctv person. mean, come on. it’s joke. gym declined rapidly last year start good pts leaving (which don’t blame honest) lights flashing constantly free weights area section gym lights clearly don’t work air con absolutely rubbish hardly ever on. say i’m impressed understatement. become joke laughing every time get gym see else isn’t working. used 9kg, 12kg 15kg med balls they’re around anymore. nothing gets replaced! used way boxes think there’s 2. since i’ve member gym, always creepy members too. odd people stare whilst lift obviously too. absolutely astounded find ago physically avoid one specific member gym dodgy, strange overall putting would always come make conversation tell i’m working hard enough (firstly get lost one - judge someone else training) secondly months ago, walked gym find actually pt puregym bcc. wow. puregym you’ve stooped low one. creepy members one thing employing someone one people new low. hear stuff that’s going gym pts (apparently allowed name them), tell truth surprised all. surprised another pt (apparently allowed name person either) also isn’t one pts caught. honestly though, ry, aron jimmy leave, puregym bcc going really go downhill - good pts left - it’s already so. 🤷🏻‍♀️🤦🏻‍♀️",2023-07-28 09:37:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"reviews much joke pure gym self. perpetrators getting people try back up. clear day: multiple accounts reported instances sexual assault, predatory behavior, inappropriate touching, invasion personal space, abuse positions power. wake puregym duty care instead part problem",2023-07-13 14:02:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"tell reviews agm shitting reputation ruined due actions gym females. also tell ""positive reviews"" forced. especially person commented most. deeply saddened know puregym allowing vile behaviour agm creepy pt anything",2023-07-12 01:01:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Trustpilot,"one star review isn’t reflection gym way all, it’s draw attention behaviour seems ignored. friend negative experiences men mentioned previous reviews. understand positive reviews, men nice treated appropriate manner doesn’t mean haven’t treated people inappropriately.",2023-07-11 18:47:00,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"gym still old equipment, upgrade man ,there letting gyms get ahead better equipment",2023-06-03 22:04:41,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,gym supposed open 24/7 that’s case,2022-03-08 03:09:35,1
Birmingham City Centre,GB,52.4856896,-1.871104,Google,"gym two half years, significant changes. noticeable difference minor improvements christmas, like paint construction. unfortunately, lack essential equipment incline bench barbell, decline press barbell, t-bar machine. many people, including myself, expressing concerns past two years. surprising reputed brand like pure gym uk address issues. hope feedback brings positive changes.",2022-03-08 03:09:34,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"dirty gym, machines wiped - sweat marks everywhere. wish better gym, worth £20 pay month. machines aren’t great either :/",2024-04-07 22:11:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,like atmosphere enough equipment.,2024-03-19 18:01:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,contract charge every month want cancel payment,2024-03-15 02:05:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,bad. parking ticket thieves.,2024-03-09 09:02:21,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,multimillion pound company even provide phone system. easy sign join yet difficult leave keep charging monthly.,2024-01-25 21:02:36,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"going months. air con never on, anti bacterial hand cleaners mostly empty. leg press order 80% time, lots men linger sit equipment. cancelled membership joined snap fitness.",2024-01-21 20:59:01,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,could update. machines hardly work. machines like years old,2024-01-07 20:54:00,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,"many people sat machines using phone instead training. phones banned gym ,if anyone found using phone gym floor instead locker membership terminated, music played music channel tv unexpiring.",2023-12-22 23:19:00,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,four sanitisers empty.,2023-12-22 12:15:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"member pure gym couple years recent months there, moving another gym. quality equipment gone downhill massively. equipment take weeks repaired. there's massive turnover staff members recently, welcoming approachable. atmosphere gym changed, members put equipment away reprimanded it. even staff leave equipment tidy themselves. toilets always cleanest. plus side classes enjoyable, would highly recommend zumba simon's martins classes.",2023-12-09 20:52:02,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,poor parking fines given randomly,2023-11-27 20:55:39,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,today went leg curl machine realised hols blocked use. means unable use machine imagine alot others. gym meant cater everyone see would block holes people smaller thighs can't use. machine available half year anyway go alot pure gyms around country nobody ever done crazy,2023-11-15 10:33:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"dirty , broken equipment, enough equipment size gym.",2023-10-22 21:48:22,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,"quite possibly worst gym i’ve ever used. unfortunately it’s convenient, way work cheap. however it’s dirty, hasn’t updated years equipment often broken. absolute nightmare gym!",2023-10-15 18:55:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,good good,2023-10-15 08:20:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,dirty! full dust every equipment! help suffer psoriasis. needs cleaning time. women’s room could equipment.,2023-10-14 18:45:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"gym big spacious dirtiest gym far unhygienic. different gyms bradford looks like unhygienic issues obvious. machines wiped every use, toilets cleaned regularly, antibacterial sprays disposable tussue towels placed different lacation inside gym allow customers wipe machines every use. gyms leeds can't compared gyms bradford gyms leeds super clean hygienically managed. bradford gyms jd gyms pure gyms dirty, smell toilets dirty soiled, shower changing rooms cleaned, bins full emptied. sad! ready covid cases!",2023-09-21 09:35:16,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"member pure gym years. overall gym reasonable. updated equipment years, two hand grips whole gym, definitely ones covid. worst part gym, sold car park third party company. decides fine whether follow procedure not, poor behavior, fine members using gym, using car park used years. clearly make every penny can, quit gym membership years, won’t accept lack appreciation members. chains support independent businesses don’t behave like",2023-09-12 09:32:59,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"good gym, sometimes machines extremely long periods, worst use horizon manage parking extortionate reason star",2023-09-04 21:30:09,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,machines broken cable equipment missing pricing going equipments poor waste money,2023-08-08 09:27:31,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"friendly staff, lot equipment order. weight machines lot pieces missing needed train certain muscles! showers cold low pressure.",2023-07-19 09:24:58,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,member half year. stuff nice friendly. lot machines. basically i’m happy gun except one thing. whenever something breaks fix long time… example machine leg curls broken months ago. please fix it!!!!,2023-07-15 21:29:01,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,loads broken tradmils rowing machines pay 27.99 month gym equipment work. please tell still paying,2023-07-12 21:19:37,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,bad staffing cleaners showers / toilet area messy pure mess,2023-07-09 21:37:00,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,air conditioning early hours far many pieces equipment broken left broken many weeks months time poor cleanliness standards,2023-07-08 16:17:00,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,"smelly toilet airfreshnes,no toilet roll,no soaps dispensers.",2023-07-06 20:38:00,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,machine order takes months fix showers r good v poor showers water coming properly people hairs,2023-07-06 06:34:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,worst gym bradford. main machines missing. enough small (10 12kg)dumbells. people put back weights. reason coming closest gym change soon.,2023-07-01 21:18:58,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,complaint regarding gym changing rooms showers. recently stuffy warm changing rooms. could putting air condition changing rooms. also shower cubicles need unblocking making sure clean. appreciate trying keep costs low reduced water temperature pressure. shower unclean shower cubicle acceptable. hope action taken regarding blocked cubicles.,2023-07-01 00:37:00,2
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"never ever use gym!!!!! using gym since march never issue parking recently, i’ve given parking notices £51 even though use gym never stay hour. ridiculous. says free parking website branch! use gym!",2023-06-24 21:18:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,please avoid avoid avoid 6th parking fine received going gym £85 even though put number plate gym machine,2023-06-17 21:22:39,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Trustpilot,good fasilaties enough equipment showers dirty toiles unhygienic,2023-06-05 23:18:00,1
Bradford Thornbury,GB,53.8030213,-1.7048953,Google,"broken machines never get fixed, equipment missing ,what shame",2022-12-10 03:17:21,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,staff.. clearly unsafe saw kids confirmed & actually looked young using heavy equipment without supervision adults.or staff worrying. dangerous.would use gym again.,2024-04-30 08:11:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Google,gym far busy often run. enough equipment often broken down. cancelled membership,2024-03-10 16:59:29,2
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,need new equipment,2024-02-14 00:49:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,far busy matter ur going 11pm. enough weights equipment number ppl use it. weights shop seems like free all.,2024-02-08 18:34:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,cold showers past year. emailed gym told they’re sorted couple weeks back. weren’t. stopped responding emails. tried twitter. ignored too.,2023-12-25 00:06:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,"booked absolute abs class 13th dec , gone past time instructor present , went enquired - told class cancelled. 100% unprofessional. puregym dudley!",2023-12-13 20:50:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Google,"joined puregym dudley tipton mainly bit cardio workout, got say, chuffed experience. recently shuffled things around gym, there's treadmills upstairs. treadmill sessions like me, bit nightmare. treadmills fill quicker flash sale. kidding, there's often queue get one. like waiting bus rush hour - stand hoping turn. folks, included, like spend good chunk time treadmill. limited number queue, bit letdown. feel rushed, relaxing workout experience want. sum up, joining puregym dudley tipton quality time treadmill, might want think twice. ideal spot now. maybe sort future, now, bit bummer us cardio fans.",2023-11-16 16:46:06,2
Dudley Tipton,GB,52.524461,-2.0492538,Google,"gym showers keep cycling warm freezing cold, like months. telephone number call report. email address useless auto response. know price cheap surely asking much shower works!",2023-11-14 04:45:17,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,proper classes evening times ?,2023-11-02 23:13:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,"broken equipment never gets repaired wait months, ladies showers smell filthy always cold lots members complied cold showers got ignored.. showers 33oc way!!! cold gym staff lies never going fix cold shower issue, find alternative gym. sick bull#### used alternative pure gym dudley showers cold goes show ones tipton freezing refused turn up!! staff tipton waste time!!!!! update response gym gym cold know heating wont come on, showers still cold saving money expense.",2023-10-24 08:13:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,stopped using gym music way loud 2am - 4am,2023-10-20 23:26:00,2
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,"gym hopeless updated gym removed cardio equipment house weights, old equipment falling apart, treadmills broken dont work properly! ladies showers freezing even cold weather why? complain staff dont care keep telling us cant anything.",2023-10-18 15:41:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,cleaning need,2023-10-17 08:48:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,shower cold running. it’s torture shower workout. horrible sensation. pure gym dudley wake fix it. premium increased!!!.,2023-10-15 18:59:00,2
Dudley Tipton,GB,52.524461,-2.0492538,Google,"ladies showers disgusting shower cold water ? staff dont care complained nothing dont like months, absolute joke saving money members expense shocking!!!",2023-10-13 17:39:29,1
Dudley Tipton,GB,52.524461,-2.0492538,Google,signed puregym last month. can't say impressed gym minutes phone rang incredibly busy gym. decided take call outside ending call tried reenter gym. success. tuck minutes gain reenter asking kind person's entering gym find gym employee. nowhere say restrictions reentry ! sent email complain two weeks ago response?,2023-10-11 17:37:00,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,"pure gym tipton ac issues , ac dos work all. complained 10-15 times keep getting reply, working",2023-08-17 15:10:00,2
Dudley Tipton,GB,52.524461,-2.0492538,Google,"control members. members play loud music cars late night, drinking drugs, respect neighbours' right quiet enjoyment sleep. got security personel. shame!!!",2023-08-01 05:21:16,1
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,"showers setting cycle freezing warm, uncomfortable. maybe intent, leads poor experience. enough benches male changing rooms, busy times there's enough space change. private changing cubicles male changing rooms small, making impractical use. enough new equipment added legs refurb compared gyms.",2023-07-09 06:53:00,2
Dudley Tipton,GB,52.524461,-2.0492538,Trustpilot,"joined gym disable member hope support unfortunately manage exercises, every time try contact gym’s manager busy even try contact email easy get access email",2023-07-08 22:14:00,2
Dudley Tipton,GB,52.524461,-2.0492538,Google,"puregym brierley hill £9.99 month contract that's bigger better gym £21.50 tipton puregym, noticed lot cheaper puregyms aswell thay cleaner bigger?? saying tipton think would cheapest.",2022-03-08 05:13:47,1
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,great far actual gym good staff friendly kit plenty choose from. place packed car park always full. air con can't keep demand people along people's terrible hygiene place stinks etiquette gym enforce rules bags floor trip people walking around barefoot. cheap get pay,2024-04-25 13:29:00,2
Leicester Walnut Street,GB,52.6244566,-1.1343556,Google,good equipment place packed,2024-03-14 20:26:25,1
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,"many people, enough equipments.",2024-02-06 12:09:00,2
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,"regarding previous review. raised gym, raised feedback raising issues forum get resolved. nothing resolved! forum along every channel feedback pure gym. company. comment still stands need resolving. please send gym manager instead asking me. you’re company ??????????",2023-12-15 19:21:00,1
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,"reduced showers cut carbon footprint. leave tvs signal messages 24/7. increasing carbon footprint. tvs staying message weeks. always good tvs showing important messages music videos. second point…. let’s transparent, cutting costs everywhere, removing showers reducing temperature water air temperature gym.",2023-12-13 15:56:00,1
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,gym cold wet. it’s lovely large windows cannot see anything due condensation. maybe gym bit warmer would happen. i’ve seen people training coats week. looking forward carpet smelling mould next weeks,2023-12-06 22:05:00,1
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,absolutly freezing colder outside morning. wonder dead,2023-12-04 12:30:00,1
Leicester Walnut Street,GB,52.6244566,-1.1343556,Google,"well equipped gym pt service competitive rates. however recent weeks feels like puregym forgotten turn heating walnut street, leicester. put training week gym freezing unbelievably, air con women’s changing room hot water either. fingers went numb, couldn’t grip weights leave! come pure gym, need offer better basic facilities - temp absence hot water even legal h&s?",2023-12-02 20:11:56,2
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,"well equipped gym pt service competitive rates. however recent weeks feels like puregym forgotten turn heating walnut street, leicester. put training week gym freezing unbelievably, air con women’s changing room hot water either. fingers went numb, couldn’t grip weights leave! come pure gym, need offer better basic facilities - temp absence hot water even legal h&s?",2023-12-02 17:53:00,2
Leicester Walnut Street,GB,52.6244566,-1.1343556,Trustpilot,"it’s freezing time gym! including water shower. something strange going ac windows streamed constantly yet gym always cold, would expect steamed little busy times time gym empty.",2023-12-01 23:32:00,1
